INSTNM,STABBR,MAIN,PREDDEG,CONTROL,CCBASIC,UG12MN,G12MN,PPTUG_EF,COSTT4,C150,CDR2,CDR3,COMP_ORIG_YR4_RT,DEBT_MDN,COMPL_RPY_1YR_RT,PPLUS_PCT_LOW,PPLUS_PCT_HIGH,PLUS_DEBT_INST_MD,PLUS_DEBT_INST_N,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,RPY_1YR_RT,RPY_3YR_RT_SUPP,LOAN_YR4_RT,NPT4,WDRAW_ORIG_YR2_RT,RET_FT4,COUNT_NWNE_P6,COUNT_WNE_P6,LOAN_YR4_N,NOLOAN_YR4_N,PELL_YR4_N,NOPELL_YR4_N,SD_EARN_WNE_P10,MN_EARN_WNE_P10,GT_28K_P6,NUM4
ICPR Junior College-Mayaguez,PR,0,2,3,7,579,0,0.2028,12320,0.3,0.289,,0.29778672,,,,,,,0.9578,0,,,12700,1900,5700,19500,27100,,,0,6880,0.628588166,0.6027,1019,1191,,,,,17800,18700,0.116,73
Richport Technical College,PR,1,1,3,-2,136,0,0,9280,0.8462,0,,0.427083333,,,,,,,0.9779,0,,,11500,1800,5000,18900,32400,,,0,3260,0.058103976,0.871,162,162,,,,,13200,16200,0.117,10
Instituto de Banca y Comercio Inc,PR,1,1,3,7,12008,0,0.0102,11497,0.6055,0.114,0.081,0.586719294,6000,,0,5,,,0.8674,0.3576,67.45900375,6500,13900,1800,6700,21200,30800,0.513513514,0.545454546,0.0385419,6665,0.272296015,0.673,8071,9889,332,8282,,,21500,20500,0.139,665
Instituto Tecnologico de Puerto Rico-Recinto de Guayama,PR,0,2,1,7,662,0,0.1827,7228,0.419,,,,,,,,,,0.8585,0,,,16700,2700,8500,25300,32600,,,0,2497,,0.9567,901,1478,,,,,22400,23800,0.194,224
Instituto Tecnologico de Puerto Rico-Recinto de Ponce,PR,0,2,1,-2,575,0,0.0581,4125,0.6653,,,,,,,,,,0.7079,0,,,16700,2700,8500,25300,32600,,,0,-1765,,0.343,901,1478,,,,,22400,23800,0.194,429
Instituto Tecnologico de Puerto Rico-Recinto de San Juan,PR,0,2,1,7,670,0,0.237,3990,0.5613,,,,,,,,,,0.8003,0,,,16700,2700,8500,25300,32600,,,0,1990,,0.6939,901,1478,,,,,22400,23800,0.194,210
Inter American University of Puerto Rico-San German,PR,1,3,2,17,4368,782,0.0985,14322,0.451,0.164,0.033,0.281171548,6750,0.465947404,0,5,4000,177,0.8326,0.2714,93.40477442,9000,16200,2700,8000,26000,35100,0.340190712,,0.3882845,8960,0.287709497,0.7821,5873,9742,464,731,1175,20,21000,23500,0.218,859
Inter American University of Puerto Rico-Aguadilla,PR,1,3,2,20,4326,279,0.1334,13284,0.3958,0.164,0.027,0.100205903,5500,0.465947404,0,5,5500,23,0.8669,0.2054,76.54002348,7375,16200,2700,8000,26000,35100,0.340190712,,0.3019904,7587,0.394466403,0.7043,5873,9742,440,1017,1429,28,21000,23500,0.218,765
Inter American University of Puerto Rico-Arecibo,PR,1,3,2,19,4249,456,0.1171,13476,0.3487,0.164,0.027,0.227505486,5500,0.465947404,0,5,,,0.8667,0.2414,83.02646615,8000,16200,2700,8000,26000,35100,0.340190712,,0.3343087,8438,0.363564041,0.6982,5873,9742,457,910,1336,31,21000,23500,0.218,863
Inter American University of Puerto Rico-Barranquitas,PR,1,3,2,22,2006,142,0.1256,13479,0.4409,0.164,0.027,0.202877698,2500,0.465947404,0,5,4000,46,0.9352,0.1655,36.32407894,3500,16200,2700,8000,26000,35100,0.340190712,,0.1942446,8085,0.280587276,0.6933,5873,9742,135,560,,,21000,23500,0.218,411
Inter American University of Puerto Rico-Metro,PR,1,3,2,17,7051,2608,0.1663,17502,0.3252,0.164,0.027,,,0.465947404,0,5,,,0.6753,0.3456,,,16200,2700,8000,26000,35100,0.340190712,,#DIV/0!,12050,,0.6909,5873,9742,,,,,21000,23500,0.218,585
Inter American University of Puerto Rico-Ponce,PR,1,3,2,20,5175,480,0.1345,13564,0.4447,0.164,0.027,0.236403996,4500,0.465947404,0,5,4000,185,0.8443,0.2234,59.41581484,5725,16200,2700,8000,26000,35100,0.340190712,,0.2741398,8026,0.308481532,0.7744,5873,9742,494,1308,1753,49,21000,23500,0.218,918
Inter American University of Puerto Rico-Fajardo,PR,1,3,2,20,2180,145,0.1497,14186,0.298,0.164,0.027,0.193133047,5500,0.465947404,0,5,,10,0.8512,0.1337,62.26984961,6000,16200,2700,8000,26000,35100,0.340190712,,0.2160229,8864,0.357664234,0.6965,5873,9742,151,548,680,19,21000,23500,0.218,381
Inter American University of Puerto Rico-Guayama,PR,1,3,2,22,2047,148,0.1571,13893,0.3516,0.164,0.027,0.241741742,6500,0.465947404,0,5,5000,40,0.8382,0.3735,93.40477442,9000,16200,2700,8000,26000,35100,0.340190712,,0.5345345,8566,0.329411765,0.7356,5873,9742,356,310,646,20,21000,23500,0.218,259
Inter American University of Puerto Rico-Bayamon,PR,1,3,2,22,4804,121,0.112,13508,0.3084,0.164,0.027,0.171428571,5500,0.465947404,0,5,10950,70,0.8309,0.1868,85.62104322,8250,16200,2700,8000,26000,35100,0.340190712,,0.2607143,8490,0.284203103,0.7126,5873,9742,365,1035,1370,30,21000,23500,0.218,923
Inter American University of Puerto Rico-School of Law,PR,1,4,2,31,,848,,0,0,0.164,0.01,,,0.465947404,,,,,NULL,NULL,,,16200,2700,8000,26000,35100,0.340190712,,#DIV/0!,0,,0,5873,9742,,,,,21000,23500,0.218,0
International Technical College,PR,1,1,3,-2,143,0,0,16599,0.5088,,,0.625,,,,,,,0.8252,0,,,16400,3100,8600,28400,31500,,,0,12882,0.338235294,0.6333,85,116,,,,,18700,21500,0.267,19
Liceo de Arte y Tecnologia,PR,1,1,3,-2,1224,0,0,12947,0.6094,0.086,0.108,0.658959538,3500,0.540441177,0,5,,,0.8391,0.1895,42.28122789,4074,17200,3400,9800,27800,38800,0.440979956,0.488017429,0.3251445,8253,0.208092486,0.6978,470,816,225,467,646,46,27900,26400,0.246,77
Modern Hairstyling Institute-Bayamon,PR,1,1,3,-2,348,0,0.1962,11289,0.6937,0,,0.624561404,,,,,,,1,0,,,11500,1100,5500,19300,26500,,,0,4608,0.234432234,0.6556,241,266,,,,,21000,18800,0.105,114
Modern Hairstyling Institute-Arecibo,PR,1,1,3,-2,142,0,0.0946,11571,0.7653,0,,0.595744681,,,,,,,0.9296,0,,,10200,,,,,,,0,4829,,0.6667,71,62,,,,,11400,15100,0.081,53
National University College,PR,1,3,3,26,15126,1968,0.4295,12941,0.3416,0.067,0.167,0.349325337,9500,0.355810617,0,5,5141,226,0.8035,0.4656,124.363268,11983,15700,2400,8300,24300,32100,0.247167325,0.29225,0.656808,7268,0.391847664,0.5601,2198,3434,4819,2518,7054,283,20800,20900,0.198,902
Ponce Paramedical College Inc,PR,1,1,3,10,1340,0,,0,0.4741,0.123,,0.417073171,6000,0.279434851,,,,,0.8299,0.2985,79.13460055,7625,13100,2000,6500,19700,28100,0.235581623,0.285578748,0.3219512,0,0.279605263,0,1308,1824,396,834,1200,30,17100,19100,0.113,0
Ponce Health Sciences University,PR,1,4,3,16,12,996,,32615,0,0.016,0.035,,,,0,5,,,NULL,NULL,,,,,,,,,,#DIV/0!,0,,0.875,,,,,,,,,,0
University of Puerto Rico-Aguadilla,PR,1,3,1,22,3740,0,0.0693,9569,0.4574,0.062,0.047,0.265333333,5500,0.67114094,0,5,,,0.8304,0.1141,57.08069548,5500,,,,,,0.548736462,0.559859155,0.2573333,4468,0.189221557,0.7856,,,193,557,,,,,,764
University of Puerto Rico-Arecibo,PR,1,3,1,22,3923,0,0.0664,12175,0.4638,0.1,0.058,0.396756757,4500,0.634042553,0,5,,,0.8047,0.0129,46.70238721,4500,,,,,,0.550151976,0.586206897,0.2216216,9665,0.149646107,0.7989,,,205,720,,,,,,630
University of Puerto Rico-Bayamon,PR,1,3,1,22,4909,0,0.1305,7569,0.2877,0.088,0.026,0.215053763,5000,0.755395684,0,5,,,0.7131,0.0459,57.08069548,5500,,,,,,0.615720524,0.663934426,0.1368524,3113,0.160333642,0.8279,,,140,883,,,,,,770
University of Puerto Rico-Carolina,PR,1,3,1,22,4027,0,0.2063,11894,0.4101,0.087,0.027,0.164761905,4500,0.705882353,0,5,,,0.7326,0.0398,51.89154134,5000,,,,,,0.55513308,0.579335793,0.1504762,6185,0.150887574,0.7898,,,158,892,,,,,,505
University of Puerto Rico-Cayey,PR,1,3,1,21,3578,0,0.0852,12029,0.4764,0,0.065,0.389086595,5000,0.697674419,0,5,,,0.6665,0.0271,51.89154134,5000,,,,,,0.65,0.704545455,0.1150652,6455,0.121418827,0.8058,,,97,746,,,,,,499
University of Puerto Rico-Humacao,PR,1,3,1,22,4118,0,0.0791,13246,0.5064,0,0.075,0.419847328,5250,0.736040609,0,5,,,0.7593,0.0639,57.08069548,5500,,,,,,0.614864865,0.622641509,0.1870229,7887,0.144396552,0.837,,,147,639,,,,,,539
University of Puerto Rico-Utuado,PR,1,2,1,23,1225,0,0.0517,15786,0.1808,0.087,0.05,0.160744501,3500,0.423076923,0,5,,,0.8172,0.0442,46.70238721,4500,,,,,,0.330188679,0.351351351,0.1049069,10473,0.23699422,0.5692,,,62,529,,,,,,363
University of Puerto Rico-Mayaguez,PR,1,3,1,18,12907,1211,0.0624,14302,0.4694,0.09,0.035,0.333333333,6700,0.74854482,0,5,,,0.6285,0.131,85.41347705,8230,33600,,15400,60000,,0.63022508,0.673245614,0.4463869,8584,0.122928177,0.8827,40,104,766,950,1670,46,,,0.596,1535
University of Puerto Rico-Medical Sciences,PR,1,3,1,25,345,1959,0.0491,0,0,0.033,0.021,0.733333333,5500,,0,5,,,0.7537,0.1877,57.08069548,5500,,,,,,0.676691729,0.757575758,0.4333333,0,0.085889571,0,,,78,102,161,19,,,,0
University of Puerto Rico-Ponce,PR,1,3,1,21,3279,0,0.0753,11071,0.4739,0.2,0.069,0.356598985,5000,0.581699346,0,5,,,0.793,0.1137,53.967203,5200,,,,,,0.504237288,0.513307985,0.2614213,5993,0.186070686,0.838,,,206,582,,,,,,513
University of Puerto Rico-Rio Piedras,PR,1,3,1,16,12555,3328,0.1154,11299,0.5718,0.045,0.067,0.340435606,5500,0.527607362,0,5,,,0.6186,0.07,57.08069548,5500,20700,,11700,32600,,0.546583851,0.600558659,0.2689394,5719,0.178285256,0.8438,82,104,568,1544,2035,77,,,0.356,1352
Universidad Ana G. Mendez-Carolina Campus,PR,1,3,2,18,11060,1729,0.2902,13113,0.3172,0.133,0.079,0.298844673,7787,0.47826087,0,5,,10,0.8464,0.5238,114.6906847,11051,16500,2600,8600,25500,35000,0.334902488,0.381783358,0.558665,7178,0.359469588,0.7031,2171,3775,2176,1719,3753,142,17100,22700,0.211,1443
Universidad del Sagrado Corazon,PR,1,3,2,19,4765,457,0.174,18503,0.3968,0.156,0.024,0.38003663,11750,0.540925267,0,5,,15,0.6426,0.4084,155.674624,15000,16500,2000,7200,29200,33100,0.402173913,0.451694487,0.5833333,13120,0.201923077,0.7272,550,980,637,455,907,185,19700,23400,0.268,652
Seminario Evangelico de Puerto Rico,PR,1,4,2,24,,213,,0,0,0,0.051,,,,,,,,NULL,NULL,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
Universidad Central Del Caribe,PR,1,1,2,25,156,331,0.252,15886,0.2308,0.058,0.035,0.5,7500,,0,5,,,0.8971,0.3971,,7375,24900,,,,,0.388888889,0.571428571,0.4583333,10506,0.177419355,0.8095,,,22,26,,,16700,30800,0.38,18
Universidad Politecnica de Puerto Rico,PR,1,3,2,27,4004,1034,0.522,20563,0.2037,0.079,0.066,0.074380165,11000,0.632794457,0,5,8000,45,0.6485,0.5499,226.2471203,21800,21900,3500,11600,36200,50500,0.480916031,0.53375695,0.7107438,15859,0.293661061,0.8178,406,994,516,210,619,107,27500,36300,0.379,443
Pontifical Catholic University of Puerto Rico-Mayaguez,PR,0,3,2,22,1485,135,0.1117,13521,0.2439,0.207,0.12,0.28145528,10500,0.377654663,0,5,,,0.8788,0.4824,155.1557086,14950,14800,2400,7000,23900,31200,0.257735849,0.317867036,0.6422436,7839,0.223645894,0.6821,910,1329,1271,708,1889,90,16800,21400,0.178,180
Universidad Ana G. Mendez-Gurabo Campus,PR,1,3,2,17,15681,3431,0.2817,13210,0.3067,0.095,0.044,0.294608617,7685,0.519242155,0,5,,,0.8059,0.4821,119.0703308,11473,16500,2600,8200,26700,34900,0.400281228,0.447856827,0.5429732,7676,0.332044466,0.745,2068,3757,2407,2026,4147,286,20000,24000,0.227,2135
College of Micronesia-FSM,FM,1,2,1,1,2683,0,0.267,10153,0.2863,,,0.255918106,,,,,,,0.8872,0,,,16000,3300,7200,23800,27600,,,0,4429,0.64,0.5804,3661,135,,,,,12800,20400,0.156,545
Palau Community College,PW,1,2,1,1,621,0,0.4442,6235,0.2979,0,,0.176966292,,,,,,,0.8233,0,,,,,,,,,,0,927,0.597826087,0.5839,,,,,,,,,,137
University of the Virgin Islands,VI,1,3,1,22,2217,307,0.2588,17349,0.2305,0.127,0.091,0.182773109,10000,0.524475525,0,5,5225,34,0.5522,0.4568,163.4583552,15750,24400,7800,12000,35300,58200,0.349834984,0.397590361,0.5882353,11714,0.409663866,0.7669,106,540,280,196,415,61,23500,35500,0.407,214
Stanford University,CA,1,3,2,15,8454,12492,0,69109,0.9438,0.01,0.01,0.817269076,10207,0.875239923,0,5,49687,170,0.1606,0.0843,121.9451222,11750,70400,18700,41600,112800,214600,0.857142857,0.8992,0.5522088,12265,0.041928721,0.9882,69,1050,275,223,340,158,156700,141300,0.841,378
Purdue University-Main Campus,IN,1,3,1,15,33757,11928,0.0494,22430,0.8061,0.046,0.023,0.729743722,15000,0.821917808,5,10,27797,2179,0.1661,0.2909,202.3770112,19500,44800,13900,29800,64400,76100,0.743492665,0.780933063,0.852964,12527,0.076084323,0.9154,444,7716,3295,568,1966,1897,44500,62200,0.779,2207
Blue Hills Regional Technical School,MA,1,1,1,-2,59,0,0,38160,1,0.102,0.111,0.657894737,9005,,0,5,,,0.5424,0.6102,93.06229025,8967,44800,,,,,0.617021277,0.677419355,0,35881,,0,,,,,23,15,36200,65900,0.844,1
Parker University,TX,1,2,2,26,731,1123,0.286,34461,0.7966,0.054,0.065,0.436363636,9057,0.424460432,0,5,,18,0.4387,0.6323,98.59392855,9500,31400,4500,18900,52500,82900,0.376506024,0.43620178,0.9045455,28053,0.234782609,0.7647,38,196,199,21,154,66,96300,62600,0.577,38
EDP University of Puerto Rico Inc-San Juan,PR,1,2,2,20,2703,169,0.4276,13880,0.3452,0.152,0.019,0.349419124,9500,0.375296912,0,5,,,0.5767,0.3999,114.161391,11000,16200,2400,8400,25400,33000,0.346551724,0.41442953,0.4101877,7326,0.318007663,0.5714,556,848,459,660,1060,59,17000,21900,0.206,138
ICPR Junior College-General Institutional,PR,1,1,3,10,576,0,0.1477,14077,0.3415,0.289,,0.29778672,,,,,,,0.9642,0,,,12700,1900,5700,19500,27100,,,0,8301,0.628588166,0.5135,1019,1191,,,,,17800,18700,0.116,35
City College-Fort Lauderdale,FL,1,2,2,23,565,0,0.3069,29610,0.4643,0.1,0.048,0.329559748,21300,0.168380463,0,5,7334,125,0.616,0.9002,285.9016362,27548,23300,3800,12300,35700,54700,0.133780992,0.215315763,0.9572327,22420,0.4508519,0,179,989,761,34,745,50,22800,31600,0.397,14
Meridian College,FL,1,1,3,10,374,0,0,20417,0.6103,0.203,0.041,0.625,12989,0.229166667,0,10,6660,21,0.7166,0.6791,134.9180075,13000,20100,,11500,29300,,0.231075697,0.278225807,0.8958333,15867,0.336283186,0.7222,71,313,129,15,,,17200,20100,0.278,43
Georgia State University-Perimeter College,GA,0,2,1,1,25873,0,0.5756,11316,0.1467,0.101,0.101,0.269714765,12184,0.429208473,0,5,10936,2467,0.4316,0.3059,224.8460486,21665,26100,5700,14500,39900,54800,0.240032173,0.444378748,0.697651,6711,0.311205571,0.6625,1007,7197,8316,3604,10005,1915,28600,38500,0.462,1428
Georgia Piedmont Technical College,GA,1,1,1,8,5922,0,0.7044,13466,0.4887,0,0.169,0.243886744,9806,0.346938776,0,5,,,0.6087,0.3827,181.6203947,17500,23500,4800,13400,36000,44600,0.165605096,0.217303823,0.6106821,6611,0.429264349,0.5931,326,1743,949,605,1446,108,20400,29000,0.4,169
Cortiva Institute-Chicago,IL,1,1,3,-2,385,0,0.3167,33081,0.7324,0.114,,0.656019656,7917,0.467362924,0,5,6611,53,0.7844,0.8909,82.16506656,7917,22700,5100,12200,34900,52500,0.376344086,0.414050822,0.9090909,29637,0.306590258,0,89,557,370,37,302,105,28400,36600,0.373,34
ETI School of Skilled Trades,IL,1,1,3,-2,226,0,0.4125,32960,0.6917,0.077,0.144,0.735632184,9500,0.40648855,10,15,6148,47,0.7345,0.8097,98.59392855,9500,31500,6300,15500,48300,61100,0.362686567,0.394932936,0.9137931,28712,,0.5556,130,782,318,30,268,80,27000,44900,0.566,36
Trend Setters' Academy of Beauty Culture-Elizabethtown,KY,0,1,3,-2,40,0,0.3182,20345,0.25,0.176,0.132,0.421875,4750,0.178571429,0,5,,,0.6,0.45,52.54537477,5063,13300,1500,5600,22300,24600,0.212014134,0.226480836,0.8046875,18809,0.11,0.1667,48,166,103,25,,,13700,18200,0.181,7
Traxlers School of Hair,MS,1,1,3,-2,79,0,0,13725,0.375,,,,,,,,,,0.6203,0,,,,,,,,,,0,9153,,1,,,,,,,,,,21
Metro Business College-Rolla,MO,0,1,3,10,75,0,0.0313,0,0.8333,0.153,0.211,0.559027778,9191,0.338297872,0,5,,,0.75,0.8333,108.2146203,10427,18400,3100,10100,26200,32200,0.263576159,0.3125,0.9409722,0,0.342281879,0,142,600,271,17,266,22,15700,20900,0.21,0
Metro Business College-Jefferson City,MO,0,1,3,10,126,0,0.1667,16071,0.6667,0.153,0.211,0.559027778,9191,0.338297872,0,5,,,0.7959,0.8571,108.2146203,10427,18400,3100,10100,26200,32200,0.263576159,0.3125,0.9409722,10631,0.342281879,0.5556,142,600,271,17,266,22,15700,20900,0.21,9
Warren County Community College,NJ,1,2,1,3,3569,0,0.5029,11113,0.424,0.062,0.145,0.224043716,6150,0.581081081,0,5,,,0.1449,0.0418,100.4101325,9675,26600,5100,13700,41300,54200,0.47318612,0.50295858,0.3060109,7755,0.457746479,0.6919,68,388,112,254,299,67,22800,36500,0.474,107
St. John's College,NM,1,3,2,21,365,107,0.0438,65456,0.6364,0.033,0.048,0.552238806,18435,0.743902439,5,15,11008,45,0.3199,0.5062,272.4098354,26248,22300,4600,11600,32400,43700,0.697297297,0.709497207,0,40973,0.192771084,0.7429,,,,,45,22,33700,41400,0.375,44
Bais Medrash Elyon,NY,1,3,2,24,57,41,0,0,0,0,,,,,,,,,0.5,0,,,,,,,,,,0,0,,0,,,,,,,,,,0
Antioch University-Los Angeles,CA,0,3,2,19,371,979,0.7077,0,0,0.03,0.035,0.473913043,19500,0.474576271,0,5,,13,0.332,0.4102,259.4577067,25000,33500,5800,19800,49200,62700,0.385608856,0.462081129,0.9478261,0,0.195652174,0,64,440,218,12,170,60,30400,41800,0.591,0
Antioch University-Santa Barbara,CA,0,3,2,20,139,295,0.5862,0,0,0.03,0.035,0.473913043,19500,0.474576271,0,5,,13,0.3274,0.4513,259.4577067,25000,33500,5800,19800,49200,62700,0.385608856,0.462081129,0.9478261,0,0.195652174,0,64,440,218,12,170,60,30400,41800,0.591,0
Antioch University-New England,NH,0,4,2,19,,1028,,0,0,0.03,0.035,0.473913043,19500,0.474576271,0,5,,13,NULL,NULL,259.4577067,25000,33500,5800,19800,49200,62700,0.385608856,0.462081129,0.9478261,0,0.195652174,0,64,440,218,12,170,60,30400,41800,0.591,0
Antioch University-Seattle,WA,0,3,2,19,129,631,0.6707,0,0,0.03,0.035,0.473913043,19500,0.474576271,0,5,,13,0.3933,0.6067,259.4577067,25000,33500,5800,19800,49200,62700,0.385608856,0.462081129,0.9478261,0,0.195652174,0,64,440,218,12,170,60,30400,41800,0.591,0
Antioch University-Midwest,OH,1,3,2,20,55,154,0.4615,0,0,0.03,0.035,0.473913043,19500,0.474576271,0,5,,13,0.561,0.8537,259.4577067,25000,33500,5800,19800,49200,62700,0.385608856,0.462081129,0.9478261,0,0.195652174,0,64,440,218,12,170,60,30400,41800,0.591,0
Mid-America Christian University,OK,1,3,2,19,2004,614,0.1241,26902,0.3933,0.062,0.143,0.234299517,14015,0.557017544,0,5,15930,87,0.5504,0.7177,291.7238671,28109,35700,8600,22200,50300,68700,0.338333333,0.376205788,0.9263285,12554,0.483969466,0.6026,88,506,767,61,636,192,54800,44700,0.66,44
Platt College,OK,1,1,3,10,588,0,0,29844,0.4709,0.117,0.255,0.456112853,9500,0.379310345,0,5,4514,1270,0.5731,0.4439,134.9180075,13000,26200,3800,13300,40600,53200,0.32755102,0.341377577,0.9566726,24664,0.410179641,0.5441,358,1854,8545,387,3475,5457,21200,28100,0.465,71
Ponca City Beauty College,OK,1,1,3,-2,57,0,0,10327,0.75,0.129,0.304,0.592592593,3988,,0,5,,,0.7368,0.2456,,,,,,,,,,0,5286,0.533333333,0.8571,,,,,,,,,,21
Francis Tuttle Technology Center,OK,1,1,1,-2,3262,0,0.4958,12452,0.5452,0.171,0.106,0.553571429,,0.520618557,,,,,0.1291,0,,,28200,3000,15700,42100,60700,0.418269231,0.411483254,0,7282,0.342307692,0.3553,108,402,,,,,25600,34200,0.502,22
Central Technology Center,OK,1,1,1,-2,637,0,0.6792,0,0.6138,0,,0.606557377,,,,,,,0.2072,0,,,22400,2600,12900,34100,48200,,,0,0,0.194029851,0.1933,26,107,,,,,24000,32600,0.383,0
Carrington College-Portland,OR,1,1,3,-2,423,0,0.312,22223,0.6829,0.12,0.121,0.742081448,8541,0.414736842,0,10,7278,96,0.1986,0.2246,92.95850716,8957,24600,3600,12700,35900,41300,0.372727273,0.406179352,0.9298643,18584,0.199669967,0.7273,459,1831,411,31,387,55,18700,28000,0.417,26
Career Technology Center of Lackawanna County,PA,1,1,1,-2,100,0,0,16102,0.4,0.044,0.062,0.821917808,10266,,0,5,,,0.86,0.9,178.2474445,17175,34200,,,,,0.593023256,0.533333333,0,12787,,0.5385,,,,,54,19,18700,38800,0.703,20
Houston Graduate School of Theology,TX,1,4,2,24,,172,,0,0,0.047,0.044,,,,,,,,NULL,NULL,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
Palo Alto College,TX,1,2,1,3,18034,0,0.7489,9772,0.3445,0.167,0.107,0.192948718,5500,0.320754717,0,5,,,0.3218,0.0367,105.2568025,10142,26100,5900,15400,38800,47100,0.293103448,0.35942492,0.1358974,3754,0.475910693,0.6254,395,2546,212,1348,1510,50,22900,33300,0.448,394
Sebring Career Schools-Huntsville,TX,0,1,3,-2,46,0,0,19142,0.9412,0.193,0.189,0.644736842,5940,,0,5,,,0.913,0.587,,,14400,3300,7300,22500,33800,0.347826087,0.369565217,0.2631579,15577,,0.9167,29,112,20,56,,,18000,22200,0.143,42
UCAS University of Cosmetology Arts & Sciences-San Antonio 410,TX,1,1,3,-2,96,0,0.7667,24732,0.2857,0.134,0,0.372093023,4274,0.568627451,0,5,,,0.0833,0.0833,57.08069548,5500,16900,2400,,,35900,0.470588235,0.441860465,0.627907,24089,,0.5,,,27,16,,,18600,25300,0.216,5
Central Texas Beauty College-Round Rock,TX,1,1,3,-2,190,0,0,10701,0.6542,0,,0.496,,,,,,,0.6842,0,,,15100,2300,6500,24200,35500,,,0,7543,0.328671329,0.2368,43,170,,,,,15500,20900,0.176,101
Unification Theological Seminary,NY,1,4,2,24,,149,,0,0,0,0.032,,,,,,,,NULL,NULL,,,,,,,,,,0,0,,0,,,,,,,,,,0
Athens Technical College,GA,1,1,1,7,6257,0,0.7253,10412,0.4017,0,,0.240986717,,,,,,,0.4697,0,,,23500,5900,13200,34700,47400,,,0,3442,0.52285192,0.5763,265,1534,,,,,19600,30100,0.378,176
GateWay Community College-Central City,AZ,0,1,1,-2,809,0,0.4976,15795,0.5315,0.132,0.157,0.160212202,4750,0.364261168,0,5,,,0.2052,0.0878,70.05358081,6750,32800,5200,16800,51400,66800,0.266896552,0.320185615,0.5564987,12861,0.340514246,0.7895,348,1628,1049,836,1644,241,29100,39000,0.586,12
Carrington College-San Leandro,CA,0,1,3,10,509,0,0.247,22095,0.7103,0.172,0.143,0.715197957,9500,0.395157385,5,10,8215,635,0.224,0.2692,107.6853266,10376,25700,3600,12800,38900,54200,0.328071041,0.38872739,0.9329502,18307,0.192032686,0.65,1346,6112,2922,210,2683,449,26800,33800,0.457,40
Headmasters School of Hair Design,ID,1,1,3,-2,46,0,0,16107,0.6957,0.147,0.175,0.486486486,12000,,0,5,,,0.5652,0.5652,153.080047,14750,,,,,,0.208955224,0.275362319,0,13104,,0.8333,,,,,,,12000,17800,,17
The Salon Professional Academy-Nampa,ID,1,1,3,-2,110,0,0,15092,0.7778,0.051,0.054,0.602941176,9298,0.240384615,0,5,,,0.5856,0.5045,103.7830827,10000,13900,,,,,0.20441989,0.222222222,0,10356,,0.8889,,,,,,,13500,18700,0.1,16
Beckfield College-Florence,KY,1,2,3,23,1159,0,0.559,23770,0.1833,0.176,0.178,0.339539978,13084,0.233606557,0,5,6200,61,0.7423,0.8655,249.9926896,24088,29000,4300,16200,42500,55800,0.154240182,0.225195095,0.8849945,19942,0.433891993,0,115,672,808,105,851,62,21800,30100,0.525,31
Dorsey School of Business-Wayne,MI,0,1,3,-2,684,0,0,29948,0.25,0.145,0.22,0.504389816,9500,0.209967697,0,10,5339,410,0.8681,0.8576,134.9180075,13000,19600,4000,11200,29300,35300,0.164478573,0.20510931,0.8775241,22558,0.393686979,0.6714,494,1877,1999,279,2183,95,17500,24700,0.284,68
Ecumenical Theological Seminary,MI,1,1,2,24,14,96,1,0,0,0,0.03,,,,0,5,,,0,0,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
Ross Medical Education Center-Saginaw,MI,0,1,3,-2,231,0,0,22256,0.8345,0.13,0.225,0.80244898,9097,0.268484531,0,5,3890,29,0.6926,0.7749,98.59392855,9500,19000,3600,10800,27500,33700,0.237238494,0.276789408,0.9110204,18204,0.174978867,0.6111,350,1558,1116,109,1088,137,14900,22000,0.236,42
Sussex County Community College,NJ,1,2,1,1,3711,0,0.4031,15543,0.2521,0.071,0.092,0.278174037,6886,0.607843137,0,5,5000,47,0.3499,0.3994,114.161391,11000,26100,5000,13900,39800,57200,0.480519481,0.517808219,0.4308131,13216,0.434494196,0.7294,142,868,302,399,539,162,25700,37700,0.456,211
Landmark College,VT,1,2,2,23,566,0,0.1425,71560,0.3636,0.044,0.08,0.459677419,8750,0.641025641,15,20,32625,103,0.2711,0.4208,147.8908928,14250,19300,1900,9200,32000,34200,0.635964912,0.633466136,0.9112903,39394,0.289156627,0.4706,26,154,113,11,61,63,41900,31800,0.364,45
National American University-Independence,MO,0,2,3,23,132,0,0.9518,0,0,0.149,0.2,0.091441761,13498,0.399354839,0,5,6969,189,0.8685,0.8805,235.732894,22714,28200,6400,15100,42500,62500,0.177869372,0.24212963,0.8659446,0,0.407629256,0,767,4230,4877,755,5202,430,28900,39500,0.504,0
Yeshiva Gedolah of Greater Detroit,MI,1,3,2,24,63,8,0,14700,0.1579,,,,,,,,,,0.4833,0,,,,,,,,,,0,7751,,0.8462,,,,,,,,,,8
Austin Graduate School of Theology,TX,1,3,2,24,27,17,0.7308,0,0,0.09,0.1,,,,0,5,,,0.4091,0.4545,,,,,,,,,,#DIV/0!,0,,0,,,,,,,,,,0
