INSTNM,STABBR,MAIN,PREDDEG,CONTROL,CCBASIC,UG12MN,G12MN,PPTUG_EF,COSTT4,C150,CDR2,CDR3,COMP_ORIG_YR4_RT,DEBT_MDN,COMPL_RPY_1YR_RT,PPLUS_PCT_LOW,PPLUS_PCT_HIGH,PLUS_DEBT_INST_MD,PLUS_DEBT_INST_N,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,RPY_1YR_RT,RPY_3YR_RT_SUPP,LOAN_YR4_RT,NPT4,WDRAW_ORIG_YR2_RT,RET_FT4,COUNT_NWNE_P6,COUNT_WNE_P6,LOAN_YR4_N,NOLOAN_YR4_N,PELL_YR4_N,NOPELL_YR4_N,SD_EARN_WNE_P10,MN_EARN_WNE_P10,GT_28K_P6,NUM4
Harford Community College,MD,1,2,1,2,8199,0,0.5999,11606,0.2875,0.063,0.089,0.190592052,5700,0.603603604,0,5,6000,30,0.2387,0.102,98.59392855,9500,26100,4000,14700,41000,54400,0.421955403,0.461028192,0.2473642,7900,0.436903499,0.687,140,923,305,928,1088,145,27400,36500,0.463,358
Hood College,MD,1,3,2,18,1178,1211,0.047,53017,0.6617,0.04,0.052,0.617318436,20000,0.680555556,10,20,30637,192,0.3759,0.7021,259.4577067,25000,35500,7500,22200,47100,56700,0.627300614,0.701133145,0.952514,22064,0.069306931,0.7098,56,465,341,17,191,167,33600,49400,0.649,207
Howard Community College,MD,1,2,1,1,13281,0,0.6281,15050,0.2241,0.069,0.126,0.156990521,7500,0.579831933,0,5,5750,30,0.301,0.1188,108.9722368,10500,30100,7200,16500,46100,64000,0.307176392,0.358942066,0.3649289,10268,0.435329341,0.6734,158,1193,616,1072,1471,217,30600,44000,0.538,456
Aveda Institute-Maryland,MD,1,1,3,-2,97,0,0,17457,0.7556,0.176,0.243,0.634615385,8500,0.444444444,0,5,,,0.3711,0.3918,102.0499052,9833,16200,,,,,0.430232558,0.364705882,0,13854,,0.6,,,,,,,18700,27000,0.214,37
Johns Hopkins University,MD,1,3,2,15,7934,23957,0.0025,69863,0.9299,0.017,0.011,0.847851336,13750,0.83031182,0,10,52117,389,0.1329,0.3164,160.8637782,15500,62700,16900,39200,88000,108900,0.801197605,0.822309417,0.9372822,30701,0.077419355,0.9717,119,1242,807,54,278,583,71400,89300,0.836,709
Lincoln College of Technology-Columbia,MD,1,1,3,7,917,0,0.2363,26212,0.5332,0.205,0.166,0.639269406,10369,0.390849673,15,20,11189,231,0.6456,0.7732,116.755968,11250,29300,6100,15500,44000,63000,0.333638863,0.378525933,0.913242,22926,0.337837838,0.8013,204,1421,400,38,341,97,27400,42100,0.524,234
Loyola University Maryland,MD,1,3,2,18,4012,2413,0.0091,64159,0.7966,0.02,0.02,0.808199122,26949,0.798888889,15,20,49245,657,0.1372,0.5271,280.2143233,27000,50700,17200,35700,66200,74000,0.781753131,0.820857864,0.9795022,39168,0.030791789,0.8776,39,884,669,14,236,447,61100,78300,0.844,596
University of Maryland Global Campus,MD,1,3,1,18,69373,20010,0.7829,17822,0.1506,0.07,0.061,0.284710967,11227,0.58275463,0,5,9615,100,0.244,0.1924,217.923717,20998,43200,7200,24300,64000,88200,0.370997594,0.431336324,0.5922474,13672,0.355311792,0.5344,911,5195,4385,3019,5826,1578,39800,55900,0.707,70
University of Maryland Baltimore,MD,1,3,1,25,1147,6348,0.2141,0,0,0.011,0.01,0.947867299,15000,0.837988827,0,5,21846,37,0.2626,0.4327,155.674624,15000,70000,38100,55200,97400,141700,0.813559322,0.8424821,0.9099526,0,,0,,,192,19,91,120,85000,114200,0.927,0
University of Maryland-Baltimore County,MD,1,3,1,16,12722,2959,0.1387,24522,0.6839,0.052,0.042,0.557415156,15347,0.758104738,5,10,19958,800,0.2986,0.3749,206.2688768,19875,40800,10800,23800,57100,72000,0.632572298,0.673720332,0.8493724,18706,0.106581532,0.8715,200,2112,1827,324,1314,837,37000,59600,0.696,856
University of Maryland-College Park,MD,1,3,1,15,32369,11683,0.061,25919,0.8618,0.022,0.023,0.720047733,16750,0.829950383,5,10,29286,1678,0.1915,0.3181,202.3770112,19500,47200,13800,30300,65300,78800,0.76691953,0.793993825,0.8625298,18457,0.0756691,0.9524,403,5486,3614,576,2195,1995,51500,70800,0.774,1425
Maryland Institute College of Art,MD,1,3,2,30,2025,402,0.0479,61990,0.6993,0.027,0.042,0.683284457,22528,0.759223301,10,20,55042,262,0.2058,0.4454,280.2143233,27000,26100,6700,13000,42500,49200,0.693959732,0.731958763,0.9501466,40073,0.120689655,0.886,54,574,324,17,168,173,29700,41200,0.469,200
University of Maryland Eastern Shore,MD,1,3,1,16,3138,737,0.0701,24376,0.3855,0.151,0.133,0.406134969,17500,0.313323573,15,20,16375,606,0.5405,0.6377,280.2143233,27000,26200,5500,15400,39000,52600,0.214733542,0.270452358,0.8993865,17745,0.23155929,0.625,112,1352,733,82,621,194,25800,40400,0.453,407
Fortis Institute-Towson,MD,1,1,3,-2,689,0,0,28898,0.4226,0.092,0.193,0.526264114,9500,0.236667964,0,10,4928,377,0.8636,0.7358,134.9180075,13000,25600,4400,13900,36800,42900,0.175470415,0.236795384,0.9052528,24548,0.302857143,0.3178,521,3149,1844,193,1877,160,18500,28300,0.449,141
Montgomery Beauty School,MD,1,1,3,-2,174,0,0.4286,19322,0.7471,0.069,0.008,0.447761194,5287,0.359550562,0,5,,,0.8448,0.9253,98.59392855,9500,15700,1700,9400,26600,38700,0.198083067,0.20952381,0,16708,0.266666667,0.7692,56,180,,,,,15300,21000,0.217,103
Montgomery College,MD,1,2,1,1,31340,0,0.6194,14042,0.2182,0.087,0.107,0.149088542,7400,0.596261682,0,5,7250,64,0.3169,0.1012,107.9136494,10398,30700,7000,16300,46400,62900,0.426491994,0.469636701,0.3875868,8585,0.526855469,0.7506,561,3800,1786,2822,3977,631,34700,46000,0.551,1062
Morgan State University,MD,1,3,1,16,6928,1447,0.0898,24084,0.3894,0.189,0.158,0.376264329,19843,0.291666667,10,20,18475,1190,0.5241,0.657,305.8798796,29473,27900,5600,15700,41400,53500,0.188646288,0.240963855,0.9190829,16991,0.217532468,0.7206,183,2195,1363,120,1142,341,26600,42600,0.498,656
Mount St. Mary's University,MD,1,3,2,19,1961,662,0.0527,55420,0.6421,0.032,0.041,0.671755725,19500,0.793911007,15,20,38692,332,0.273,0.6147,272.6381582,26270,41300,13700,27700,54200,68500,0.731092437,0.747712418,0.9236641,28060,0.079120879,0.7366,31,519,363,30,156,237,32400,56600,0.746,405
